Base,Shoulder,Elbow,Pitch,Roll,Gripper
11.3,148.0,9.8,100.2,8.9,86.1
11.2,148.1,45.7,100.1,9.2,21.0
11.0,61.2,47.5,99.8,9.3,20.9
11.1,61.5,47.4,100.3,9.1,86.0
15.9,99.3,47.8,132.9,9.2,85.9
96.3,99.2,47.3,132.8,9.3,85.5
92.9,45.9,77.8,128.3,9.3,85.5
92.6,45.8,77.9,128.3,9.0,6.9
92.4,89.8,48.0,127.6,8.9,7.1
4.4,133.6,8.8,89.0,8.9,93.4
