Base,Shoulder,Elbow,Pitch,Roll,Gripper
4.5,133.5,8.7,89.3,12.3,93.4
7.6,58.5,42.7,89.6,112.7,4.7
7.6,58.6,42.8,89.9,112.8,85.6
15.3,115.6,18.2,89.0,112.6,85.5
100.9,62.1,46.7,108.9,17.0,85.1
101.0,62.1,46.6,108.8,17.4,6.9
100.9,109.5,38.3,108.8,17.1,6.9
7.4,143.5,10.6,108.2,17.1,94.4
