Base,Shoulder,Elbow,Pitch,Roll,Gripper
4.4,133.5,8.8,88.8,9.3,93.5
4.5,133.5,8.7,89.4,94.5,93.4
4.4,133.5,9.1,89.2,12.2,93.5
